sectorId,sectorName,tier,horizon,adoption,score,zone,dominant,trigger_scarce_knowledge,trigger_coordination_zero,trigger_unbundling
1,Financial Services & Insurance,T1,H1,low,31.7533,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H1,medium,28.3433,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H1,high,23.9333,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H2,low,31.7533,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H2,medium,28.3433,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H2,high,23.9333,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H3,low,31.7533,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H3,medium,28.3433,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H3,high,23.9333,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H4,low,31.7533,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H4,medium,28.3433,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T1,H4,high,23.9333,Adapting,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H1,low,45.4733,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H1,medium,45.0033,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H1,high,43.5333,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H2,low,45.4733,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H2,medium,45.0033,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H2,high,43.5333,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H3,low,45.4733,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H3,medium,45.0033,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H3,high,43.5333,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H4,low,45.4733,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H4,medium,45.0033,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T2,H4,high,43.5333,Transforming,P,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H1,low,50.6067,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H1,medium,51.2367,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H1,high,50.8667,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H2,low,50.6067,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H2,medium,51.2367,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H2,high,50.8667,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H3,low,50.6067,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H3,medium,51.2367,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H3,high,50.8667,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H4,low,50.6067,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H4,medium,51.2367,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T3,H4,high,50.8667,Transforming,T/A,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H1,low,52.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H1,medium,53.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H1,high,53.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H2,low,52.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H2,medium,53.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H2,high,53.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H3,low,52.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H3,medium,53.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H3,high,53.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H4,low,52.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H4,medium,53.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T4,H4,high,53.3333,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T5,H1,low,47.8533,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T5,H1,medium,47.8933,Transforming,A/C,FALSE,FALSE,FALSE
1,Financial Services & Insurance,T5,H1,high,46.9333,Transforming,A/C,FALSE,FALSE,FALSE
